v2	V(n002)	I(R2)
4.229999999999954e+000	4.230000e+000	6.579448e-003
4.239999999999954e+000	4.240000e+000	6.580458e-003
4.249999999999954e+000	4.250000e+000	6.581468e-003
4.259999999999954e+000	4.260000e+000	6.582478e-003
4.269999999999953e+000	4.270000e+000	6.583488e-003
4.279999999999953e+000	4.280000e+000	6.584497e-003
4.289999999999953e+000	4.290000e+000	6.585507e-003
4.299999999999953e+000	4.300000e+000	6.586517e-003
4.309999999999953e+000	4.310000e+000	6.587527e-003
4.319999999999952e+000	4.320000e+000	6.588537e-003
4.329999999999952e+000	4.330000e+000	6.589547e-003
4.339999999999952e+000	4.340000e+000	6.590557e-003
4.349999999999952e+000	4.350000e+000	6.591567e-003
4.359999999999952e+000	4.360000e+000	6.592577e-003
4.369999999999951e+000	4.370000e+000	6.593587e-003
4.379999999999951e+000	4.380000e+000	6.594597e-003
4.389999999999951e+000	4.390000e+000	6.595607e-003
4.399999999999951e+000	4.400000e+000	6.596617e-003
4.409999999999950e+000	4.410000e+000	6.597626e-003
4.419999999999950e+000	4.420000e+000	6.598637e-003
4.429999999999950e+000	4.430000e+000	6.599647e-003
4.439999999999950e+000	4.440000e+000	6.600657e-003
4.449999999999950e+000	4.450000e+000	6.601667e-003
4.459999999999949e+000	4.460000e+000	6.602677e-003
4.469999999999949e+000	4.470000e+000	6.603687e-003
4.479999999999949e+000	4.480000e+000	6.604696e-003
4.489999999999949e+000	4.490000e+000	6.605706e-003
4.499999999999949e+000	4.500000e+000	6.606716e-003
4.509999999999948e+000	4.510000e+000	6.607726e-003
4.519999999999948e+000	4.520000e+000	6.608736e-003
4.529999999999948e+000	4.530000e+000	6.609746e-003
4.539999999999948e+000	4.540000e+000	6.610756e-003
4.549999999999947e+000	4.550000e+000	6.611766e-003
4.559999999999947e+000	4.560000e+000	6.612776e-003
4.569999999999947e+000	4.570000e+000	6.613786e-003
4.579999999999947e+000	4.580000e+000	6.614796e-003
4.589999999999947e+000	4.590000e+000	6.615806e-003
4.599999999999946e+000	4.600000e+000	6.616815e-003
4.609999999999946e+000	4.610000e+000	6.617825e-003
4.619999999999946e+000	4.620000e+000	6.618835e-003
